event_type,qc_level,intensity,city,region_country,datetime_utc,reporter,description,query_year,query_month,queried_event
Snow,QC2,F-Scale: IF1,Nagpur,"Maharashtra, India",24/05/2022 13:30 UTC,Meteorological Office,Event observed via satellite imagery.,2022,05,Snow
Devil,QC2,EF1,Madrid,Spain,05/03/2024 08:58 UTC,Storm Chaser Network,Damage to vegetation and light structures.,2024,03,Devil
Devil,QC0,N/A,Tel Aviv,"Tel Aviv District, Israel",09/11/2022 16:50 UTC,ESWD Management,Weak event reported with minor impacts.,2022,11,Devil
Gustnado,QC0,EF0,Tel Aviv,"Tel Aviv District, Israel",08/12/2018 20:21 UTC,Storm Chaser Network,"Short-lived event, limited damage reported.",2018,12,Gustnado
Wind,QC0,EF2,Madrid,Spain,12/04/2011 18:53 UTC,University Research Group,Weak event reported with minor impacts.,2011,04,Wind
Precip,QC1,F-Scale: IF0,Madrid,Spain,20/12/2011 21:52 UTC,Meteorological Office,Severe weather phenomenon confirmed by eyewitnesses.,2011,12,Precip
Gustnado,QC0+,EF1,Paris,"Île-de-France, France",23/02/2000 08:59 UTC,ESWD Management,Strong winds caused structural damage.,2000,02,Gustnado
Ice,QC1,N/A,Madrid,Spain,02/12/2008 05:13 UTC,Local Weather Service,"Short-lived event, limited damage reported.",2008,12,Ice
Lightning,QC0,F-Scale: IF0,Rota,"Andalucía, Spain",16/07/2014 16:40 UTC,Meteorological Office,Damage to vegetation and light structures.,2014,07,Lightning
Devil,QC0,F-Scale: IF0,Rota,"Andalucía, Spain",21/10/2010 19:21 UTC,University Research Group,Severe weather phenomenon confirmed by eyewitnesses.,2010,10,Devil
Funnel,QC2,EF1,Madrid,Spain,22/08/2005 04:22 UTC,Local Weather Service,Damage to vegetation and light structures.,2005,08,Funnel
Lightning,QC0+,EF2,Rome,"Lazio, Italy",24/12/2018 07:13 UTC,Meteorological Office,Severe weather phenomenon confirmed by eyewitnesses.,2018,12,Lightning
Precip,QC2,F-Scale: IF0,Vienna,Austria,26/08/2019 17:39 UTC,Local Weather Service,Event observed via satellite imagery.,2019,08,Precip
Funnel,QC0+,EF1,Vienna,Austria,10/12/2000 20:04 UTC,Local Weather Service,Weak event reported with minor impacts.,2000,12,Funnel
Funnel,QC0,N/A,Rota,"Andalucía, Spain",08/04/2010 02:18 UTC,Meteorological Office,Weak event reported with minor impacts.,2010,04,Funnel
Lightning,QC2,F-Scale: IF1,Nagpur,"Maharashtra, India",28/06/2012 22:50 UTC,Public Report,Event observed via satellite imagery.,2012,06,Lightning
Tornado,QC2,N/A,Rome,"Lazio, Italy",15/03/2021 08:17 UTC,Storm Chaser Network,Event observed via satellite imagery.,2021,03,Tornado
Funnel,QC2,EF0,Genova,"Liguria, Italy",03/05/2019 12:05 UTC,Storm Chaser Network,Strong winds caused structural damage.,2019,05,Funnel
Avalanche,QC1,N/A,Genova,"Liguria, Italy",20/09/2002 13:44 UTC,ESWD Management,Event observed via satellite imagery.,2002,09,Avalanche
Devil,QC0+,EF0,Nagpur,"Maharashtra, India",21/01/2024 15:18 UTC,Local Weather Service,Damage to vegetation and light structures.,2024,01,Devil
Wind,QC0,F-Scale: IF0,Nagpur,"Maharashtra, India",20/05/2003 15:07 UTC,University Research Group,"Short-lived event, limited damage reported.",2003,05,Wind
Avalanche,QC2,EF0,Genova,"Liguria, Italy",08/08/2010 05:40 UTC,Storm Chaser Network,Event observed via satellite imagery.,2010,08,Avalanche
Hail,QC0,EF0,Rota,"Andalucía, Spain",21/05/2007 12:56 UTC,Meteorological Office,Severe weather phenomenon confirmed by eyewitnesses.,2007,05,Hail
Ice,QC2,F-Scale: IF1,Zurich,Switzerland,05/12/2024 22:35 UTC,Local Weather Service,Damage to vegetation and light structures.,2024,12,Ice
Devil,QC0,EF2,Rota,"Andalucía, Spain",24/12/2025 18:30 UTC,Meteorological Office,Weak event reported with minor impacts.,2025,12,Devil
Avalanche,QC0+,F-Scale: IF0,Rome,"Lazio, Italy",21/05/2021 17:09 UTC,Public Report,Weak event reported with minor impacts.,2021,05,Avalanche
Gustnado,QC0+,EF0,Genova,"Liguria, Italy",18/01/2003 23:02 UTC,ESWD Management,"Short-lived event, limited damage reported.",2003,01,Gustnado
Devil,QC0,EF0,Rome,"Lazio, Italy",13/10/2001 21:08 UTC,University Research Group,"Short-lived event, limited damage reported.",2001,10,Devil
Tornado,QC0+,EF2,Madrid,Spain,11/03/2014 08:54 UTC,University Research Group,Damage to vegetation and light structures.,2014,03,Tornado
Devil,QC1,EF0,Munich,"Bavaria, Germany",02/10/2017 04:28 UTC,Meteorological Office,Weak event reported with minor impacts.,2017,10,Devil
Avalanche,QC0,EF1,Paris,"Île-de-France, France",03/04/2025 03:24 UTC,Local Weather Service,"Short-lived event, limited damage reported.",2025,04,Avalanche
Ice,QC0+,F-Scale: IF2,Tel Aviv,"Tel Aviv District, Israel",28/08/2015 02:20 UTC,Meteorological Office,Event observed via satellite imagery.,2015,08,Ice
Wind,QC0,EF2,Madrid,Spain,27/07/2013 20:52 UTC,Public Report,Damage to vegetation and light structures.,2013,07,Wind
Precip,QC0,F-Scale: IF0,Genova,"Liguria, Italy",09/01/2006 09:01 UTC,University Research Group,"Short-lived event, limited damage reported.",2006,01,Precip
Gustnado,QC0+,EF2,Munich,"Bavaria, Germany",21/08/2012 20:38 UTC,Meteorological Office,Event observed via satellite imagery.,2012,08,Gustnado
Precip,QC1,N/A,Munich,"Bavaria, Germany",02/09/2022 16:40 UTC,ESWD Management,Weak event reported with minor impacts.,2022,09,Precip
Precip,QC0,F-Scale: IF2,Zurich,Switzerland,30/05/2012 01:30 UTC,Local Weather Service,Strong winds caused structural damage.,2012,05,Precip
Ice,QC2,EF1,Tel Aviv,"Tel Aviv District, Israel",27/10/2019 18:49 UTC,ESWD Management,Weak event reported with minor impacts.,2019,10,Ice
Funnel,QC1,EF1,Tel Aviv,"Tel Aviv District, Israel",21/06/2024 01:13 UTC,Public Report,Event observed via satellite imagery.,2024,06,Funnel
Hail,QC1,N/A,Tel Aviv,"Tel Aviv District, Israel",16/11/2001 10:31 UTC,ESWD Management,Damage to vegetation and light structures.,2001,11,Hail
Devil,QC2,EF1,Nagpur,"Maharashtra, India",11/08/2004 12:04 UTC,University Research Group,Event observed via satellite imagery.,2004,08,Devil
Devil,QC0,F-Scale: IF1,Tel Aviv,"Tel Aviv District, Israel",10/12/2007 14:04 UTC,University Research Group,Damage to vegetation and light structures.,2007,12,Devil
Hail,QC0,EF0,Nagpur,"Maharashtra, India",20/12/2011 05:26 UTC,ESWD Management,Severe weather phenomenon confirmed by eyewitnesses.,2011,12,Hail
Devil,QC1,N/A,Nagpur,"Maharashtra, India",24/08/2020 11:56 UTC,Local Weather Service,Event observed via satellite imagery.,2020,08,Devil
Avalanche,QC1,N/A,Nagpur,"Maharashtra, India",15/11/2017 11:12 UTC,ESWD Management,Damage to vegetation and light structures.,2017,11,Avalanche
Snow,QC1,F-Scale: IF0,Madrid,Spain,05/12/2017 23:11 UTC,ESWD Management,Damage to vegetation and light structures.,2017,12,Snow
Gustnado,QC0,EF1,Rome,"Lazio, Italy",28/11/2011 01:18 UTC,Storm Chaser Network,Damage to vegetation and light structures.,2011,11,Gustnado
Snow,QC2,EF1,Zurich,Switzerland,10/12/2022 03:56 UTC,Local Weather Service,Damage to vegetation and light structures.,2022,12,Snow
Avalanche,QC0+,F-Scale: IF2,Zurich,Switzerland,28/01/2000 17:44 UTC,Storm Chaser Network,Weak event reported with minor impacts.,2000,01,Avalanche
Precip,QC0,EF2,Vienna,Austria,30/01/2014 22:38 UTC,Meteorological Office,"Short-lived event, limited damage reported.",2014,01,Precip
Ice,QC1,EF1,Zurich,Switzerland,19/08/2014 13:44 UTC,Local Weather Service,Event observed via satellite imagery.,2014,08,Ice
Hail,QC1,EF0,Zurich,Switzerland,22/10/2007 21:00 UTC,Public Report,Weak event reported with minor impacts.,2007,10,Hail
Ice,QC1,EF0,Munich,"Bavaria, Germany",05/06/2009 14:40 UTC,Storm Chaser Network,Severe weather phenomenon confirmed by eyewitnesses.,2009,06,Ice
Precip,QC0+,EF2,Nagpur,"Maharashtra, India",06/12/2022 16:09 UTC,ESWD Management,Damage to vegetation and light structures.,2022,12,Precip
Lightning,QC0+,EF2,Rome,"Lazio, Italy",13/01/2015 03:11 UTC,Meteorological Office,Event observed via satellite imagery.,2015,01,Lightning
Devil,QC0+,EF0,Tel Aviv,"Tel Aviv District, Israel",04/02/2001 01:34 UTC,Public Report,Weak event reported with minor impacts.,2001,02,Devil
Wind,QC2,EF0,Zurich,Switzerland,27/10/2025 06:38 UTC,Storm Chaser Network,Event observed via satellite imagery.,2025,10,Wind
Gustnado,QC0+,F-Scale: IF1,Rota,"Andalucía, Spain",12/10/2004 14:30 UTC,University Research Group,"Short-lived event, limited damage reported.",2004,10,Gustnado
Wind,QC0,EF0,Rota,"Andalucía, Spain",01/01/2025 08:30 UTC,Local Weather Service,Severe weather phenomenon confirmed by eyewitnesses.,2025,01,Wind
Precip,QC1,N/A,Madrid,Spain,26/01/2025 20:19 UTC,Storm Chaser Network,"Short-lived event, limited damage reported.",2025,01,Precip
Lightning,QC0+,EF2,Zurich,Switzerland,29/07/2024 15:13 UTC,Storm Chaser Network,Severe weather phenomenon confirmed by eyewitnesses.,2024,07,Lightning
Ice,QC2,EF2,Nagpur,"Maharashtra, India",09/06/2012 17:47 UTC,Local Weather Service,Damage to vegetation and light structures.,2012,06,Ice
Wind,QC1,F-Scale: IF2,Genova,"Liguria, Italy",25/10/2012 08:00 UTC,Meteorological Office,"Short-lived event, limited damage reported.",2012,10,Wind
Funnel,QC2,EF2,Tel Aviv,"Tel Aviv District, Israel",07/10/2006 07:53 UTC,Local Weather Service,Strong winds caused structural damage.,2006,10,Funnel
Devil,QC1,EF1,Genova,"Liguria, Italy",11/08/2018 13:54 UTC,Storm Chaser Network,Severe weather phenomenon confirmed by eyewitnesses.,2018,08,Devil
Avalanche,QC0,N/A,Nagpur,"Maharashtra, India",05/11/2018 13:17 UTC,Public Report,Severe weather phenomenon confirmed by eyewitnesses.,2018,11,Avalanche
Wind,QC2,N/A,Rota,"Andalucía, Spain",12/10/2015 10:11 UTC,Storm Chaser Network,"Short-lived event, limited damage reported.",2015,10,Wind
Lightning,QC0+,F-Scale: IF2,Rome,"Lazio, Italy",22/11/2009 16:39 UTC,Storm Chaser Network,Severe weather phenomenon confirmed by eyewitnesses.,2009,11,Lightning
Avalanche,QC2,EF2,Zurich,Switzerland,29/01/2015 22:49 UTC,Local Weather Service,Severe weather phenomenon confirmed by eyewitnesses.,2015,01,Avalanche
Gustnado,QC2,EF1,Rome,"Lazio, Italy",17/12/2023 00:55 UTC,Public Report,Strong winds caused structural damage.,2023,12,Gustnado
Avalanche,QC2,F-Scale: IF1,Genova,"Liguria, Italy",24/03/2019 04:37 UTC,ESWD Management,Damage to vegetation and light structures.,2019,03,Avalanche
Hail,QC1,F-Scale: IF2,Vienna,Austria,29/06/2009 15:31 UTC,Storm Chaser Network,Damage to vegetation and light structures.,2009,06,Hail
Hail,QC0,EF2,Munich,"Bavaria, Germany",03/09/2003 16:03 UTC,Public Report,Weak event reported with minor impacts.,2003,09,Hail
Snow,QC0,N/A,Nagpur,"Maharashtra, India",29/01/2003 22:14 UTC,ESWD Management,Event observed via satellite imagery.,2003,01,Snow
Devil,QC0+,EF0,Rota,"Andalucía, Spain",01/11/2006 08:08 UTC,University Research Group,Weak event reported with minor impacts.,2006,11,Devil
Tornado,QC1,N/A,Nagpur,"Maharashtra, India",10/11/2020 23:52 UTC,Meteorological Office,Event observed via satellite imagery.,2020,11,Tornado
Tornado,QC1,F-Scale: IF0,Rome,"Lazio, Italy",19/02/2005 05:35 UTC,Public Report,Weak event reported with minor impacts.,2005,02,Tornado
Ice,QC0+,F-Scale: IF0,Rome,"Lazio, Italy",01/11/2016 13:32 UTC,Public Report,Strong winds caused structural damage.,2016,11,Ice
Precip,QC1,N/A,Nagpur,"Maharashtra, India",27/07/2004 23:47 UTC,University Research Group,"Short-lived event, limited damage reported.",2004,07,Precip
Funnel,QC2,EF2,Rome,"Lazio, Italy",03/11/2001 11:51 UTC,Meteorological Office,Weak event reported with minor impacts.,2001,11,Funnel
Lightning,QC2,F-Scale: IF0,Vienna,Austria,26/07/2000 14:20 UTC,Storm Chaser Network,Damage to vegetation and light structures.,2000,07,Lightning
Precip,QC0+,EF2,Paris,"Île-de-France, France",11/11/2006 14:51 UTC,Public Report,Strong winds caused structural damage.,2006,11,Precip
Ice,QC2,EF0,Rome,"Lazio, Italy",21/02/2024 16:30 UTC,University Research Group,"Short-lived event, limited damage reported.",2024,02,Ice
Ice,QC1,EF0,Vienna,Austria,05/01/2011 02:57 UTC,Local Weather Service,Severe weather phenomenon confirmed by eyewitnesses.,2011,01,Ice
Tornado,QC0,EF0,Rome,"Lazio, Italy",31/12/2016 11:28 UTC,Meteorological Office,Event observed via satellite imagery.,2016,12,Tornado
Wind,QC1,F-Scale: IF2,Nagpur,"Maharashtra, India",01/12/2015 08:49 UTC,Public Report,Strong winds caused structural damage.,2015,12,Wind
Ice,QC0+,F-Scale: IF0,Madrid,Spain,15/06/2000 17:38 UTC,Local Weather Service,Strong winds caused structural damage.,2000,06,Ice
Hail,QC2,EF2,Paris,"Île-de-France, France",26/11/2024 08:12 UTC,University Research Group,Severe weather phenomenon confirmed by eyewitnesses.,2024,11,Hail
Wind,QC0+,EF0,Rota,"Andalucía, Spain",04/03/2004 10:02 UTC,University Research Group,Event observed via satellite imagery.,2004,03,Wind
Ice,QC1,EF0,Rome,"Lazio, Italy",21/07/2016 16:09 UTC,University Research Group,"Short-lived event, limited damage reported.",2016,07,Ice
Snow,QC1,F-Scale: IF2,Vienna,Austria,09/05/2020 09:14 UTC,Local Weather Service,Weak event reported with minor impacts.,2020,05,Snow
Devil,QC0+,F-Scale: IF1,Vienna,Austria,12/05/2005 18:17 UTC,Local Weather Service,Strong winds caused structural damage.,2005,05,Devil
Wind,QC1,F-Scale: IF0,Munich,"Bavaria, Germany",14/07/2023 20:22 UTC,Local Weather Service,Damage to vegetation and light structures.,2023,07,Wind
Devil,QC0,EF2,Vienna,Austria,18/01/2008 10:19 UTC,Public Report,Event observed via satellite imagery.,2008,01,Devil
Ice,QC1,EF2,Rota,"Andalucía, Spain",12/06/2002 18:53 UTC,Local Weather Service,Strong winds caused structural damage.,2002,06,Ice
Wind,QC1,EF0,Genova,"Liguria, Italy",19/07/2000 19:35 UTC,Storm Chaser Network,Severe weather phenomenon confirmed by eyewitnesses.,2000,07,Wind
Snow,QC2,F-Scale: IF0,Tel Aviv,"Tel Aviv District, Israel",21/04/2002 08:37 UTC,ESWD Management,Severe weather phenomenon confirmed by eyewitnesses.,2002,04,Snow
Wind,QC0,F-Scale: IF1,Genova,"Liguria, Italy",18/11/2025 21:29 UTC,Local Weather Service,"Short-lived event, limited damage reported.",2025,11,Wind
Ice,QC2,EF1,Genova,"Liguria, Italy",18/02/2011 04:02 UTC,Public Report,"Short-lived event, limited damage reported.",2011,02,Ice
Devil,QC2,F-Scale: IF2,Madrid,Spain,23/01/2017 15:22 UTC,Public Report,Severe weather phenomenon confirmed by eyewitnesses.,2017,01,Devil
Ice,QC0,N/A,Rome,"Lazio, Italy",13/09/2002 20:48 UTC,Local Weather Service,Strong winds caused structural damage.,2002,09,Ice
Devil,QC0+,F-Scale: IF1,Munich,"Bavaria, Germany",23/08/2003 05:21 UTC,Public Report,Weak event reported with minor impacts.,2003,08,Devil
Gustnado,QC2,F-Scale: IF2,Rota,"Andalucía, Spain",29/04/2018 15:22 UTC,ESWD Management,Event observed via satellite imagery.,2018,04,Gustnado
Ice,QC0+,F-Scale: IF2,Munich,"Bavaria, Germany",13/05/2020 02:25 UTC,University Research Group,"Short-lived event, limited damage reported.",2020,05,Ice
Precip,QC0+,EF2,Nagpur,"Maharashtra, India",26/01/2019 03:55 UTC,Local Weather Service,Damage to vegetation and light structures.,2019,01,Precip
Gustnado,QC1,EF1,Genova,"Liguria, Italy",04/09/2002 05:39 UTC,University Research Group,"Short-lived event, limited damage reported.",2002,09,Gustnado
Ice,QC1,EF2,Paris,"Île-de-France, France",30/07/2005 15:59 UTC,Storm Chaser Network,Damage to vegetation and light structures.,2005,07,Ice
Lightning,QC0,EF1,Madrid,Spain,24/02/2022 14:56 UTC,ESWD Management,Severe weather phenomenon confirmed by eyewitnesses.,2022,02,Lightning
Snow,QC0,F-Scale: IF1,Rome,"Lazio, Italy",26/03/2011 00:52 UTC,University Research Group,"Short-lived event, limited damage reported.",2011,03,Snow
Tornado,QC0,N/A,Rota,"Andalucía, Spain",02/02/2012 19:40 UTC,Local Weather Service,Severe weather phenomenon confirmed by eyewitnesses.,2012,02,Tornado
Lightning,QC2,EF2,Paris,"Île-de-France, France",23/06/2012 06:11 UTC,Storm Chaser Network,Weak event reported with minor impacts.,2012,06,Lightning
Wind,QC1,EF2,Vienna,Austria,26/04/2018 11:22 UTC,ESWD Management,Event observed via satellite imagery.,2018,04,Wind
Snow,QC2,N/A,Zurich,Switzerland,23/03/2022 09:50 UTC,Public Report,Weak event reported with minor impacts.,2022,03,Snow
Wind,QC1,F-Scale: IF0,Genova,"Liguria, Italy",09/02/2014 08:36 UTC,Storm Chaser Network,"Short-lived event, limited damage reported.",2014,02,Wind
Avalanche,QC0,F-Scale: IF1,Madrid,Spain,21/09/2020 14:06 UTC,Public Report,Damage to vegetation and light structures.,2020,09,Avalanche
Tornado,QC0+,F-Scale: IF2,Paris,"Île-de-France, France",30/10/2019 01:45 UTC,Public Report,Event observed via satellite imagery.,2019,10,Tornado
Ice,QC0,EF2,Paris,"Île-de-France, France",28/09/2021 04:08 UTC,Public Report,Event observed via satellite imagery.,2021,09,Ice
Gustnado,QC2,F-Scale: IF0,Munich,"Bavaria, Germany",15/09/2024 00:28 UTC,Local Weather Service,Weak event reported with minor impacts.,2024,09,Gustnado
Wind,QC1,EF1,Genova,"Liguria, Italy",27/11/2006 17:00 UTC,University Research Group,Damage to vegetation and light structures.,2006,11,Wind
Hail,QC2,EF1,Paris,"Île-de-France, France",07/03/2021 08:19 UTC,Local Weather Service,Severe weather phenomenon confirmed by eyewitnesses.,2021,03,Hail
Devil,QC0,F-Scale: IF2,Rome,"Lazio, Italy",19/10/2022 04:39 UTC,Storm Chaser Network,Damage to vegetation and light structures.,2022,10,Devil
Lightning,QC1,N/A,Munich,"Bavaria, Germany",12/02/2000 09:39 UTC,Public Report,"Short-lived event, limited damage reported.",2000,02,Lightning
Precip,QC2,F-Scale: IF2,Paris,"Île-de-France, France",31/08/2006 15:14 UTC,Meteorological Office,"Short-lived event, limited damage reported.",2006,08,Precip
Lightning,QC0+,EF2,Zurich,Switzerland,04/06/2020 10:59 UTC,Local Weather Service,"Short-lived event, limited damage reported.",2020,06,Lightning
Hail,QC1,EF2,Nagpur,"Maharashtra, India",05/06/2018 01:29 UTC,Storm Chaser Network,Strong winds caused structural damage.,2018,06,Hail
Hail,QC0,F-Scale: IF1,Zurich,Switzerland,28/10/2006 16:54 UTC,Public Report,"Short-lived event, limited damage reported.",2006,10,Hail
Snow,QC2,F-Scale: IF0,Genova,"Liguria, Italy",01/10/2019 03:24 UTC,University Research Group,Event observed via satellite imagery.,2019,10,Snow
Hail,QC1,F-Scale: IF2,Tel Aviv,"Tel Aviv District, Israel",10/05/2003 16:01 UTC,Public Report,Strong winds caused structural damage.,2003,05,Hail
Hail,QC2,F-Scale: IF2,Genova,"Liguria, Italy",27/09/2014 23:01 UTC,University Research Group,Strong winds caused structural damage.,2014,09,Hail
Wind,QC0,F-Scale: IF1,Madrid,Spain,11/08/2001 21:04 UTC,University Research Group,Strong winds caused structural damage.,2001,08,Wind
Ice,QC0,N/A,Nagpur,"Maharashtra, India",20/01/2004 14:48 UTC,University Research Group,Strong winds caused structural damage.,2004,01,Ice
Funnel,QC1,F-Scale: IF0,Paris,"Île-de-France, France",18/06/2007 23:41 UTC,ESWD Management,Damage to vegetation and light structures.,2007,06,Funnel
Avalanche,QC2,F-Scale: IF1,Munich,"Bavaria, Germany",30/01/2016 12:47 UTC,Local Weather Service,"Short-lived event, limited damage reported.",2016,01,Avalanche
Hail,QC0+,F-Scale: IF0,Rome,"Lazio, Italy",29/01/2008 05:48 UTC,Public Report,Severe weather phenomenon confirmed by eyewitnesses.,2008,01,Hail
Tornado,QC0+,F-Scale: IF1,Nagpur,"Maharashtra, India",28/04/2022 19:54 UTC,Storm Chaser Network,Strong winds caused structural damage.,2022,04,Tornado
Ice,QC0,N/A,Paris,"Île-de-France, France",15/06/2011 22:45 UTC,Storm Chaser Network,Damage to vegetation and light structures.,2011,06,Ice
Precip,QC2,F-Scale: IF2,Madrid,Spain,01/02/2007 02:31 UTC,Public Report,Damage to vegetation and light structures.,2007,02,Precip
Precip,QC1,F-Scale: IF1,Zurich,Switzerland,21/03/2011 15:35 UTC,Storm Chaser Network,Severe weather phenomenon confirmed by eyewitnesses.,2011,03,Precip
Funnel,QC1,EF1,Nagpur,"Maharashtra, India",08/02/2017 19:31 UTC,Meteorological Office,Strong winds caused structural damage.,2017,02,Funnel
Ice,QC0,EF1,Rota,"Andalucía, Spain",02/10/2017 09:22 UTC,University Research Group,Strong winds caused structural damage.,2017,10,Ice
Avalanche,QC0+,EF1,Rome,"Lazio, Italy",13/04/2022 09:46 UTC,Meteorological Office,Event observed via satellite imagery.,2022,04,Avalanche
Precip,QC0+,EF2,Nagpur,"Maharashtra, India",30/03/2011 23:08 UTC,ESWD Management,Strong winds caused structural damage.,2011,03,Precip
Precip,QC0,EF1,Rota,"Andalucía, Spain",09/11/2013 15:02 UTC,Meteorological Office,Strong winds caused structural damage.,2013,11,Precip
Gustnado,QC2,F-Scale: IF1,Genova,"Liguria, Italy",28/03/2013 11:09 UTC,Local Weather Service,Event observed via satellite imagery.,2013,03,Gustnado
Lightning,QC1,N/A,Vienna,Austria,24/10/2023 17:07 UTC,Local Weather Service,Damage to vegetation and light structures.,2023,10,Lightning
Wind,QC2,F-Scale: IF0,Munich,"Bavaria, Germany",12/03/2015 03:55 UTC,Local Weather Service,Event observed via satellite imagery.,2015,03,Wind
Precip,QC0,N/A,Zurich,Switzerland,31/12/2024 12:29 UTC,Storm Chaser Network,Weak event reported with minor impacts.,2024,12,Precip
Ice,QC1,EF2,Madrid,Spain,17/07/2005 15:31 UTC,University Research Group,Strong winds caused structural damage.,2005,07,Ice
Ice,QC1,F-Scale: IF0,Rome,"Lazio, Italy",02/02/2017 21:47 UTC,University Research Group,Event observed via satellite imagery.,2017,02,Ice
Wind,QC0+,EF2,Rota,"Andalucía, Spain",08/03/2025 11:11 UTC,ESWD Management,Strong winds caused structural damage.,2025,03,Wind
Wind,QC0+,F-Scale: IF0,Munich,"Bavaria, Germany",25/04/2018 03:58 UTC,ESWD Management,Damage to vegetation and light structures.,2018,04,Wind
Wind,QC0+,EF0,Genova,"Liguria, Italy",11/05/2004 08:00 UTC,Storm Chaser Network,Damage to vegetation and light structures.,2004,05,Wind
Precip,QC0+,EF0,Madrid,Spain,19/10/2018 20:02 UTC,University Research Group,Weak event reported with minor impacts.,2018,10,Precip
Wind,QC0,EF2,Rome,"Lazio, Italy",22/04/2018 09:32 UTC,Meteorological Office,Event observed via satellite imagery.,2018,04,Wind
Wind,QC0,EF2,Paris,"Île-de-France, France",04/08/2010 12:22 UTC,Meteorological Office,"Short-lived event, limited damage reported.",2010,08,Wind
Precip,QC1,F-Scale: IF1,Vienna,Austria,19/09/2002 13:35 UTC,ESWD Management,Severe weather phenomenon confirmed by eyewitnesses.,2002,09,Precip
Funnel,QC1,F-Scale: IF1,Nagpur,"Maharashtra, India",15/12/2000 01:43 UTC,Local Weather Service,"Short-lived event, limited damage reported.",2000,12,Funnel
Devil,QC0+,N/A,Genova,"Liguria, Italy",10/11/2024 07:04 UTC,Local Weather Service,Damage to vegetation and light structures.,2024,11,Devil
Gustnado,QC0+,F-Scale: IF1,Rome,"Lazio, Italy",16/02/2000 09:27 UTC,Public Report,Damage to vegetation and light structures.,2000,02,Gustnado
Gustnado,QC0,F-Scale: IF2,Genova,"Liguria, Italy",26/02/2001 04:29 UTC,Local Weather Service,"Short-lived event, limited damage reported.",2001,02,Gustnado
Snow,QC0,F-Scale: IF1,Rota,"Andalucía, Spain",25/10/2007 09:03 UTC,University Research Group,Severe weather phenomenon confirmed by eyewitnesses.,2007,10,Snow
Lightning,QC2,N/A,Genova,"Liguria, Italy",07/11/2002 16:15 UTC,Meteorological Office,"Short-lived event, limited damage reported.",2002,11,Lightning
Tornado,QC0+,EF1,Genova,"Liguria, Italy",10/04/2020 17:11 UTC,ESWD Management,Strong winds caused structural damage.,2020,04,Tornado
Precip,QC0,F-Scale: IF0,Madrid,Spain,12/07/2013 15:38 UTC,Storm Chaser Network,Severe weather phenomenon confirmed by eyewitnesses.,2013,07,Precip
Hail,QC0,F-Scale: IF0,Genova,"Liguria, Italy",28/12/2021 15:08 UTC,Meteorological Office,"Short-lived event, limited damage reported.",2021,12,Hail
Gustnado,QC1,EF0,Genova,"Liguria, Italy",29/08/2005 09:23 UTC,Public Report,"Short-lived event, limited damage reported.",2005,08,Gustnado
Ice,QC2,F-Scale: IF0,Paris,"Île-de-France, France",04/09/2022 20:39 UTC,University Research Group,Weak event reported with minor impacts.,2022,09,Ice
Precip,QC2,F-Scale: IF1,Madrid,Spain,23/08/2009 14:40 UTC,Storm Chaser Network,Damage to vegetation and light structures.,2009,08,Precip
Wind,QC1,EF0,Zurich,Switzerland,29/08/2018 03:14 UTC,Meteorological Office,Strong winds caused structural damage.,2018,08,Wind
